Ticker,Name,Date,Open,High,Low,Close,Volume,OPENINT
934856,0IIFL18     ,20121105,1000,1000,1000,1000,10,10
934844,0MFL17      ,20121105,1128.91,1128.91,1092.01,1092.03,73,50
934847,1050TCFS14  ,20121105,1065.05,1075,1064,1075,115,115
934848,1050TCFS14A ,20121105,1497,1497,1495,1496,145,145
934854,1275IIFL18  ,20121105,1006.9,1007,1004,1005.26,1621,1620
934841,1300MFL14   ,20121105,1056.01,1066,1056.01,1062,239,236
934842,1325MFL15   ,20121105,1069,1100,1069,1070.01,65,65
533022,20 MICRONS  ,20121105,149.8,170.95,149,163.95,2471496,381455
526921,21ST CEN.MGM,20121105,5.46,5.46,5.25,5.33,1550,1450
532628,3I INFOTECH ,20121105,8.11,8.25,7.71,7.71,966173,966173
523395,3M INDIA LTD,20121105,3850,3850,3827,3850,19,13
961743,793REC22    ,20121105,1060,1070,1059,1059,315,315
590116,7SEAS TECH  ,20121105,22.35,23.45,22.35,22.95,6254,5414
961732,810IRFC2327 ,20121105,1050,1053.14,1050,1052,16121,11020
961744,812REC27    ,20121105,1076,1084,1076,1083.69,225,185
961727,820NHAI22   ,20121105,1061.25,1062.25,1060,1060.81,1778,1477
961729,820PFC2022  ,20121105,1054.99,1054.99,1051,1051.28,5035,5035
961728,830NHAI27   ,20121105,1083,1093.75,1081.05,1093.49,1168,1068
961730,830PFC2027  ,20121105,1076.6,1090,1076.6,1085.85,900,550
961731,8IRFC230222 ,20121105,1043.39,1044,1039,1039.99,2928,2425
512161,8KMILES     ,20121105,36.45,36.45,33.6,36.45,34423,21141
530499,A.K.CAPITAL ,20121105,180,184.85,170.1,174.15,8555,5607
500009,A.SARABHAI  ,20121105,5.55,5.65,5.44,5.54,11991,11991
533292,A2ZMES      ,20121105,59.05,62.35,58.2,60.4,81646,22990
531611,AADHAARVEN  ,20121105,0.46,0.5,0.46,0.46,157791,115591
530027,AADI INDUS L,20121105,3.7,3.85,3.5,3.73,29035,29035
533412,AANJANEYA   ,20121105,645,650,635.2,642.45,13197,7328
524412,AAREY DRUGS ,20121105,56,57.35,56,56.75,419393,204951
524348,AARTI DRUGS ,20121105,195.95,197.85,189,190.7,20824,9613
524208,AARTI INDUST,20121105,90.55,94.45,90.55,93.05,21542,11882
514274,AARVEE DENIM,20121105,61.5,64.85,61.5,62.8,8977,4900
531731,AARYAGLOBL  ,20121105,3.23,3.24,2.8,2.82,3399,3379
519319,AASHEE      ,20121105,6.68,6.68,6.68,6.68,100,100
523204,ABAN OFFSHO ,20121105,441.8,443.75,435,436.75,61772,20783
